,ID,Followers,Following,Posts,Is private,ID has number,ID has number at end,ID letter ratio,Following/follower ratio,Following/post ratio,Follower/post ratio
0,feky_vevo,9183,243,6,False,False,False,0.8888888888888888,0.026461940542306436,40.5,1530.5
1,mskat.jlo,67400,34,2723,False,False,False,0.8888888888888888,0.0005044510385756677,0.012486228424531766,24.752111641571794
2,p4.ga,0,45,3,True,True,False,0.6,inf,15.0,0.0
3,i_rrasha,73800,311,463,False,False,False,0.875,0.004214092140921409,0.67170626349892,159.3952483801296
4,photography_color_of_the_day,139,482,51,False,False,False,0.8571428571428571,3.4676258992805757,9.450980392156863,2.7254901960784315
5,6qdn,19500,122,10,False,True,False,0.75,0.006256410256410256,12.2,1950.0
6,r0_5.y,6086,3358,5,False,True,False,0.3333333333333333,0.5517581334209661,671.6,1217.2
7,1n.v3,20,104,4,False,True,True,0.4,5.2,26.0,5.0
8,s.a9432,0,14,0,False,True,True,0.2857142857142857,inf,inf,inf
9,mahmoud_2_0_0_1,378,2193,23,True,True,True,0.4666666666666667,5.801587301587301,95.34782608695652,16.434782608695652
10,saifalnatour,542,623,22,False,False,False,1.0,1.1494464944649447,28.318181818181817,24.636363636363637
11,00pp00ppm,2,24,1,False,True,False,0.5555555555555556,12.0,24.0,2.0
12,sayf.ch,746,609,18,False,False,False,0.8571428571428571,0.8163538873994638,33.833333333333336,41.44444444444444
13,eslamezzat.7,8126,65,79,False,True,True,0.8333333333333334,0.007999015505783904,0.8227848101265823,102.86075949367088
14,ftoom.ww,21,339,0,False,False,False,0.875,16.142857142857142,inf,inf
15,tala.a_126,41,304,0,False,True,True,0.5,7.414634146341464,inf,inf
16,rh.m5,49,86,0,True,True,True,0.6,1.7551020408163265,inf,inf
17,frrsseggybh,12,43,2,False,False,False,1.0,3.5833333333333335,21.5,6.0
18,nm._.ga,21200,916,17,False,False,False,0.5714285714285714,0.043207547169811324,53.88235294117647,1247.0588235294117
19,ta_d9090,15,81,0,False,True,True,0.375,5.4,inf,inf
20,mnoo.lh,1040,570,24,False,False,False,0.8571428571428571,0.5480769230769231,23.75,43.333333333333336
21,beshonon,1,13,0,False,False,False,1.0,13.0,inf,inf
22,mario.moris.73,292,288,3,False,True,True,0.7142857142857143,0.9863013698630136,96.0,97.33333333333333
23,abelrhmanouf,317,257,13,False,False,False,1.0,0.8107255520504731,19.76923076923077,24.384615384615383
24,9ic.2,5054,546,125,False,True,True,0.4,0.10803324099722991,4.368,40.432
25,salh7199,797,513,26,False,True,True,0.5,0.64366373902133,19.73076923076923,30.653846153846153
26,yamkawaii,930,567,458,False,False,False,1.0,0.6096774193548387,1.237991266375546,2.03056768558952
27,mouna_khaled98,101,248,14,True,True,True,0.7857142857142857,2.4554455445544554,17.714285714285715,7.214285714285714
28,fgfhhhh2,5,56,1,False,True,True,0.875,11.2,56.0,5.0
29,3.an2_,224,304,1,False,True,False,0.3333333333333333,1.3571428571428572,304.0,224.0
30,93majnon,156,513,7,False,True,False,0.75,3.2884615384615383,73.28571428571429,22.285714285714285
31,farahwaleedd_,1951,406,12,False,False,False,0.9230769230769231,0.20809841107124552,33.833333333333336,162.58333333333334
32,_7vgl,13,139,6,True,True,False,0.6,10.692307692307692,23.166666666666668,2.1666666666666665
33,7y_my,10600,260,0,False,True,False,0.6,0.024528301886792454,inf,inf
34,bdllhsyry8941,17,127,0,False,True,True,0.6923076923076923,7.470588235294118,inf,inf
35,danahbaj,392,348,64,False,False,False,1.0,0.8877551020408163,5.4375,6.125
36,ii_fortnitev,157,140,3,False,False,False,0.9166666666666666,0.89171974522293,46.666666666666664,52.333333333333336
37,gufvuiip1188,355,117,119,False,True,True,0.6666666666666666,0.3295774647887324,0.9831932773109243,2.9831932773109244
38,dazai.ix,84,279,2,False,False,False,0.875,3.3214285714285716,139.5,42.0
39,wahaj_7469,6,13,62,False,True,True,0.5,2.1666666666666665,0.20967741935483872,0.0967741935483871
40,azoz_alrja,136,383,95,False,False,False,0.9,2.8161764705882355,4.031578947368421,1.431578947368421
41,0wwss,38,37,0,False,True,False,0.8,0.9736842105263158,inf,inf
42,su2__2,1,14,0,True,True,True,0.3333333333333333,14.0,inf,inf
43,f_hd211,2,7,1,False,True,True,0.42857142857142855,3.5,7.0,2.0
44,mnourah512,16,129,0,False,True,True,0.7,8.0625,inf,inf
45,f.qr_,974,370,10,False,False,False,0.6,0.3798767967145791,37.0,97.4
46,abdo__a_z,179,156,5,False,False,False,0.6666666666666666,0.8715083798882681,31.2,35.8
47,ma_oh98,14700,726,7,False,True,True,0.5714285714285714,0.04938775510204082,103.71428571428571,2100.0
48,rahaf.hegazy,102,253,2,True,False,False,0.9166666666666666,2.480392156862745,126.5,51.0
49,21_alfiljawi,1044,1289,34,True,True,False,0.75,1.2346743295019158,37.911764705882355,30.705882352941178
50,cczvy,1358,60,93,False,False,False,1.0,0.044182621502209134,0.6451612903225806,14.602150537634408
51,liwil0,1706,626,118,False,True,True,0.8333333333333334,0.3669402110199297,5.305084745762712,14.457627118644067
52,mostafa_almishal,6500,1972,149,False,False,False,0.9375,0.30338461538461536,13.234899328859061,43.624161073825505
53,tota190__,10,96,2,True,True,False,0.4444444444444444,9.6,48.0,5.0
54,shamyalrashdy,3,20,4,False,False,False,1.0,6.666666666666667,5.0,0.75
55,nancyy_paull,1456,322,2,True,False,False,0.9166666666666666,0.22115384615384615,161.0,728.0
56,rainbowpanda13553882191,15,905,2,False,True,True,0.5217391304347826,60.333333333333336,452.5,7.5
57,aljoury77_9,71,353,2,False,True,True,0.6363636363636364,4.971830985915493,176.5,35.5
58,_._islxxm_._,652,566,23,False,False,False,0.5,0.8680981595092024,24.608695652173914,28.347826086956523
